machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 537, cp.soft = 150, angle = 63.1019711304379, angle.soft = 89.8251344620519
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 324, angle = 8.89791518292542, angle.soft = 1.3622926817524
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 398, angle = 6.78849410748821, angle.soft = 1.3675944148609
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 365, angle = 8.06990785894994, angle.soft = 1.40601042862366
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 678, angle = 8.30935703277222, angle.soft = 1.08385301158612
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 534, cp.soft = 287, angle = 90, angle.soft = 89.9951142522848
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 632, cp.soft = 1199, angle = 79.4536008356924, angle.soft = 89.9596111744784
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 533, cp.soft = 1, angle = 90, angle.soft = 89.9059180119458
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 722, cp.soft = 356, angle = 90, angle.soft = 89.6086264323269
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 462, cp.soft = 3, angle = 58.9434775267082, angle.soft = 87.7518344225107
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 736, cp.soft = 87, angle = 66.9347688698094, angle.soft = 89.6421921821161
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 816, cp.soft = 103, angle = 87.3029382849645, angle.soft = 87.5279592854423
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 632, cp.soft = 194, angle = 90, angle.soft = 88.2415344404295
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 613, cp.soft = 1047, angle = 89.0472010978592, angle.soft = 88.1514095273122
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 403, cp.soft = 1189, angle = 69.514625273576, angle.soft = 89.1528943972332
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 744, cp.soft = 1180, angle = 90, angle.soft = 89.9062399304423
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 463, cp.soft = 1159, angle = 64.524681120465, angle.soft = 89.9221353672392
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 1174, angle = 31.1532131720241, angle.soft = 89.8861262149979
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 466, cp.soft = 9, angle = 37.1254230117668, angle.soft = 88.0824018634354
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 515, cp.soft = 1, angle = 58.3827116363044, angle.soft = 88.3765441282792
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 462, cp.soft = 315, angle = 39.7525495161694, angle.soft = 89.7871357971683
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 398, cp.soft = 1197, angle = 34.6273850561642, angle.soft = 89.8866145692086
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 686, cp.soft = 21, angle = 87.2741562969377, angle.soft = 89.8952609837058
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 438, cp.soft = 5, angle = 52.9620686994436, angle.soft = 68.4986745672791
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 423, cp.soft = 154, angle = 52.5247106246802, angle.soft = 89.9878823202954
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 399, angle = 16.6837573955788, angle.soft = 53.3311572902486
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 397, angle = 15.1504314774944, angle.soft = 45.8163698486522
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 409, cp.soft = 530, angle = 26.3266152918746, angle.soft = 87.8767771199274
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 394, cp.soft = 393, angle = 20.8793905940606, angle.soft = 46.5894182612925
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 401, cp.soft = 454, angle = 19.0402178263019, angle.soft = 28.3947138709516
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 694, cp.soft = 299, angle = 70.1695450658858, angle.soft = 75.0509964840941
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 395, cp.soft = 455, angle = 28.4713274901265, angle.soft = 62.9493108631027
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 398, cp.soft = 73, angle = 38.8033715250039, angle.soft = 59.9079759610256
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 11.5049215668719, angle.soft = 24.2205202446866
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 401, angle = 9.05109219590412, angle.soft = 32.2761699713326
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 392, cp.soft = 396, angle = 8.78718661863925, angle.soft = 43.4508527518196
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 394, angle = 16.0888142140655, angle.soft = 42.6281858698239
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 400, cp.soft = 387, angle = 25.0005983545869, angle.soft = 51.1773588251355
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 407, cp.soft = 406, angle = 31.0289751712656, angle.soft = 12.1065700486415
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 428, cp.soft = 453, angle = 39.9256740785834, angle.soft = 37.6255958313576
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 397, cp.soft = 1055, angle = 29.1735445657207, angle.soft = 46.6682305897608
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 9.62780124691404, angle.soft = 33.6067783363961
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 385, angle = 9.83848854541984, angle.soft = 25.0397265378944
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 400, angle = 10.3100759009767, angle.soft = 23.3420739747134
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 409, angle = 11.7289444437933, angle.soft = 36.7744323817379
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 392, cp.soft = 1199, angle = 25.3795096069041, angle.soft = 52.634799465153
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 452, cp.soft = 988, angle = 51.1218131128341, angle.soft = 59.7268525953382
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 408, cp.soft = 458, angle = 22.4676003284136, angle.soft = 44.6445962735873
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 400, cp.soft = 740, angle = 21.0285470759099, angle.soft = 65.5017227688806
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 12.2778441835771, angle.soft = 16.1746297624443
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 9.34880012170818, angle.soft = 24.7949666324342
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 404, cp.soft = 400, angle = 8.59205010384044, angle.soft = 6.64028477442521
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 409, angle = 7.59482190011748, angle.soft = 18.3940841821276
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 562, cp.soft = 8, angle = 88.2304262257798, angle.soft = 89.5768421907539
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 650, cp.soft = 588, angle = 90, angle.soft = 89.9584638801458
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 629, cp.soft = 99, angle = 88.2070546435807, angle.soft = 89.9678584168505
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 589, cp.soft = 1197, angle = 89.5454907449966, angle.soft = 89.3454499023463
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 533, cp.soft = 678, angle = 82.6585962043855, angle.soft = 89.2782467909392
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 519, cp.soft = 643, angle = 65.7801172021039, angle.soft = 89.2198396818259
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 593, cp.soft = 389, angle = 85.2259716642556, angle.soft = 88.7656961815158
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 567, cp.soft = 3, angle = 79.7595012664866, angle.soft = 89.9234314919051
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 593, cp.soft = 1, angle = 77.8898050805859, angle.soft = 89.653842686732
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 505, cp.soft = 50, angle = 90, angle.soft = 89.9879160906096
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 435, cp.soft = 12, angle = 56.3997289536614, angle.soft = 89.9430519439668
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 493, cp.soft = 1147, angle = 71.410294395719, angle.soft = 89.8365483215042
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 393, cp.soft = 1189, angle = 54.8616981440187, angle.soft = 89.2674218964379
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 564, cp.soft = 166, angle = 53.1285554009429, angle.soft = 88.6773044384235
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 347, cp.soft = 4, angle = 48.3365565751141, angle.soft = 88.9113693794769
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 382, cp.soft = 1183, angle = 46.2020249611497, angle.soft = 89.9392703989923
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 663, cp.soft = 1194, angle = 89.4115068631325, angle.soft = 89.6269314250588
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 406, cp.soft = 403, angle = 35.3723373346685, angle.soft = 27.0219061115323
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 535, cp.soft = 1165, angle = 63.6188100001213, angle.soft = 89.3319694189488
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 420, cp.soft = 97, angle = 63.7823769210227, angle.soft = 89.9836363080542
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 403, cp.soft = 310, angle = 30.721078801343, angle.soft = 88.8503488760481
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 411, cp.soft = 51, angle = 37.343405120824, angle.soft = 87.8787548760852
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 632, angle = 25.8811886142845, angle.soft = 88.709192552831
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 411, angle = 23.0847841325983, angle.soft = 67.3764748942114
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 611, cp.soft = 107, angle = 76.8638978487258, angle.soft = 89.769197056053
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 390, cp.soft = 1179, angle = 52.0429415349562, angle.soft = 89.9781613500118
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 400, cp.soft = 46, angle = 50.00242617782, angle.soft = 89.1117294663219
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 366, cp.soft = 406, angle = 30.4711479728956, angle.soft = 29.4144218357107
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 10, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 23.0620916861105, angle.soft = 54.6603330661193
